# initial_energy
# total_energy =    21393864.400
# t_series

#########################################################
#           step    tempk     radg       etot      velet qscore     rmsd
#unit       step    tempk     radg       etot      velet qscore     rmsd      local         go      repul  stack_rna      hbond      elect      afmcc     afmfit      stage
#########################################################

#all        4600   298.00    37.98   -4120.80    1133.84  0.434    15.14    1153.09    -195.29      10.38   -3035.95   -2894.57     263.44  0.9679546     579.00      -1.87
            4700   298.00    38.05   -4167.14    1110.89  0.449    15.09
#all        4700   298.00    38.05   -4167.14    1110.89  0.449    15.09    1125.76    -197.85       7.90   -3033.72   -2894.47     262.05  0.9687938     563.84      -1.60
            4800   298.00    38.11   -4273.49    1107.24  0.461    15.05
#all        4800   298.00    38.11   -4273.49    1107.24  0.461    15.05    1120.07    -204.14       4.24   -3045.19   -2926.39     263.14  0.9714551     515.75      -1.96
            4900   298.00    38.18   -4226.02    1044.17  0.450    15.03
#all        4900   298.00    38.18   -4226.02    1044.17  0.450    15.03    1121.22    -208.57       6.22   -3058.92   -2919.33     260.61  0.9682533     573.60      -1.82
            5000   298.00    38.21   -4382.59    1064.48  0.450    14.99
#all        5000   298.00    38.21   -4382.59    1064.48  0.450    14.99    1094.18    -212.26       6.24   -3104.43   -2929.38     263.49  0.9722982     500.52      -1.93
            5100   298.00    38.26   -4348.11    1041.27  0.446    14.95
#all        5100   298.00    38.26   -4348.11    1041.27  0.446    14.95    1059.75    -208.18       7.87   -3107.08   -2920.73     262.68  0.9690629     558.98      -2.38
            5200   298.00    38.31   -4389.02    1026.59  0.441    14.90
#all        5200   298.00    38.31   -4389.02    1026.59  0.441    14.90    1033.37    -211.13      11.13   -3118.71   -2914.53     262.94  0.9695902     549.45      -2.49
            5300   298.00    38.38   -4387.47    1016.35  0.453    14.87
#all        5300   298.00    38.38   -4387.47    1016.35  0.453    14.87    1034.00    -211.51       7.23   -3127.42   -2921.28     257.58  0.9681007     576.36      -3.40
            5400   298.00    38.43   -4407.19    1049.33  0.469    14.84
#all        5400   298.00    38.43   -4407.19    1049.33  0.469    14.84    1023.29    -213.03       5.81   -3154.48   -2932.97     257.92  0.9662479     609.84      -4.53
            5500   298.00    38.49   -4484.59    1019.74  0.489    14.81
#all        5500   298.00    38.49   -4484.59    1019.74  0.489    14.81    1017.75    -231.50       8.16   -3179.44   -2931.05     256.21  0.9679349     579.36      -5.04
            5600   298.00    38.54   -4552.84    1036.15  0.488    14.76
#all        5600   298.00    38.54   -4552.84    1036.15  0.488    14.76    1019.08    -229.30       5.90   -3193.65   -2978.05     255.43  0.9683582     571.71      -4.93
            5700   298.00    38.58   -4584.88    1019.83  0.484    14.71
#all        5700   298.00    38.58   -4584.88    1019.83  0.484    14.71    1015.25    -216.09       6.01   -3234.85   -2950.92     255.62  0.9699457     543.02      -3.87
            5800   298.00    38.62   -4554.08     963.97  0.496    14.66
#all        5800   298.00    38.62   -4554.08     963.97  0.496    14.66    1063.17    -230.41       4.23   -3229.87   -2969.82     252.52  0.9691243     557.87      -2.74
            5900   298.00    38.65   -4660.77     998.95  0.507    14.60
#all        5900   298.00    38.65   -4660.77     998.95  0.507    14.60    1007.32    -228.66       9.56   -3240.59   -2976.67     254.18  0.9714592     515.68      -2.56
            6000   298.00    38.70   -4648.08     960.78  0.512    14.56
#all        6000   298.00    38.70   -4648.08     960.78  0.512    14.56     973.10    -233.98      11.03   -3232.60   -2970.42     252.88  0.9693320     554.11      -3.18
            6100   298.00    38.75   -4658.37     944.04  0.515    14.51
#all        6100   298.00    38.75   -4658.37     944.04  0.515    14.51    1021.52    -230.82       7.40   -3265.41   -3029.92     253.31  0.9674662     587.83      -3.24
            6200   298.00    38.80   -4727.41     985.79  0.514    14.45
#all        6200   298.00    38.80   -4727.41     985.79  0.514    14.45     987.76    -232.39       9.37   -3291.46   -3047.43     255.61  0.9671692     593.19      -3.03
            6300   298.00    38.86   -4771.62    1014.15  0.492    14.37
#all        6300   298.00    38.86   -4771.62    1014.15  0.492    14.37     955.77    -219.52       8.55   -3328.02   -3040.52     254.84  0.9668235     599.44      -3.14
            6400   298.00    38.94   -4776.91     953.77  0.503    14.30
#all        6400   298.00    38.94   -4776.91     953.77  0.503    14.30     986.24    -231.34      11.17   -3318.74   -3047.75     254.14  0.9684753     569.59      -1.19
            6500   298.00    39.00   -4922.15     971.14  0.516    14.25
#all        6500   298.00    39.00   -4922.15     971.14  0.516    14.25     943.84    -229.07       9.27   -3336.85   -3044.41     253.41  0.9732744     482.88      -2.19
            6600   298.00    39.05   -4884.85     942.16  0.512    14.22
#all        6600   298.00    39.05   -4884.85     942.16  0.512    14.22     965.96    -233.71       9.10   -3336.68   -3045.56     252.68  0.9720267     505.43      -3.04
            6700   298.00    39.10   -4939.11     952.51  0.518    14.19
#all        6700   298.00    39.10   -4939.11     952.51  0.518    14.19     942.00    -242.70       7.10   -3355.53   -3049.92     252.76  0.9718507     508.60      -2.40
            6800   298.00    39.18   -4926.07     911.12  0.515    14.19
#all        6800   298.00    39.18   -4926.07     911.12  0.515    14.19     925.57    -239.73       8.40   -3344.34   -3057.58     250.73  0.9705436     532.22      -2.31
            6900   298.00    39.25   -4971.20     923.67  0.511    14.19
#all        6900   298.00    39.25   -4971.20     923.67  0.511    14.19     901.21    -233.99       6.19   -3353.48   -3070.41     249.40  0.9706537     530.23      -1.33
            7000   298.00    39.29   -4986.35     888.24  0.509    14.18
#all        7000   298.00    39.29   -4986.35     888.24  0.509    14.18     906.60    -238.83       5.24   -3341.97   -3072.52     247.86  0.9719128     507.48      -1.20
            7100   298.00    39.32   -4920.42     859.58  0.515    14.18
#all        7100   298.00    39.32   -4920.42     859.58  0.515    14.18     926.97    -229.16       5.77   -3348.38   -3077.71     247.67  0.9693162     554.40      -0.95
            7200   298.00    39.37   -5030.35     878.98  0.532    14.19
#all        7200   298.00    39.37   -5030.35     878.98  0.532    14.19     898.28    -246.97       6.81   -3359.26   -3077.12     245.35  0.9721508     503.18      -1.60
            7300   298.00    39.39   -5009.19     866.49  0.527    14.20
#all        7300   298.00    39.39   -5009.19     866.49  0.527    14.20     904.77    -247.20       7.89   -3369.00   -3077.95     246.15  0.9708023     527.55      -2.36
            7400   298.00    39.41   -5054.68     853.91  0.520    14.21
#all        7400   298.00    39.41   -5054.68     853.91  0.520    14.21     887.00    -245.85       8.20   -3361.05   -3081.01     247.70  0.9727988     491.47      -2.13
            7500   298.00    39.43   -5017.62     860.84  0.520    14.21
#all        7500   298.00    39.43   -5017.62     860.84  0.520    14.21     883.26    -243.90       8.72   -3366.81   -3077.75     248.47  0.9706199     530.84      -1.42
            7600   298.00    39.47   -5048.62     851.69  0.526    14.21
#all        7600   298.00    39.47   -5048.62     851.69  0.526    14.21     895.19    -246.45       5.99   -3364.28   -3078.27     247.74  0.9727492     492.37      -1.89
            7700   298.00    39.48   -5091.56     877.12  0.524    14.20
#all        7700   298.00    39.48   -5091.56     877.12  0.524    14.20     845.26    -252.39       6.61   -3368.92   -3077.43     248.54  0.9718898     507.90      -2.10
            7800   298.00    39.51   -5101.55     843.43  0.519    14.21
#all        7800   298.00    39.51   -5101.55     843.43  0.519    14.21     847.38    -248.39       7.47   -3365.01   -3081.53     248.08  0.9728001     491.45      -1.97
            7900   298.00    39.56   -5096.55     836.98  0.520    14.23
#all        7900   298.00    39.56   -5096.55     836.98  0.520    14.23     856.24    -255.80       6.93   -3367.28   -3071.47     246.27  0.9728359     490.80      -3.22
            8000   298.00    39.60   -5104.79     862.05  0.539    14.25
#all        8000   298.00    39.60   -5104.79     862.05  0.539    14.25     805.16    -254.06       9.37   -3355.86   -3071.53     245.71  0.9712792     518.93      -3.48
            8100   298.00    39.62   -5088.29     813.34  0.534    14.24
#all        8100   298.00    39.62   -5088.29     813.34  0.534    14.24     845.03    -248.39       6.93   -3353.80   -3075.32     246.81  0.9726873     493.49      -4.01
            8200   298.00    39.66   -5139.21     838.29  0.532    14.26
#all        8200   298.00    39.66   -5139.21     838.29  0.532    14.26     826.40    -251.06       7.55   -3364.43   -3077.34     248.17  0.9737595     474.12      -3.59
            8300   298.00    39.71   -5133.42     811.78  0.512    14.26
#all        8300   298.00    39.71   -5133.42     811.78  0.512    14.26     832.60    -245.90       5.93   -3366.03   -3083.87     248.60  0.9734795     479.18      -4.91
            8400   298.00    39.79   -5146.61     791.95  0.505    14.30
#all        8400   298.00    39.79   -5146.61     791.95  0.505    14.30     817.69    -243.35       5.55   -3370.78   -3080.87     247.73  0.9733281     481.91      -5.47
            8500   298.00    39.87   -5184.43     789.37  0.528    14.33
#all        8500   298.00    39.87   -5184.43     789.37  0.528    14.33     813.09    -249.84       5.63   -3380.31   -3085.11     246.39  0.9739633     470.43      -5.69
            8600   298.00    39.94   -5163.79     797.37  0.532    14.37
#all        8600   298.00    39.94   -5163.79     797.37  0.532    14.37     802.32    -257.31       5.11   -3369.66   -3078.76     244.65  0.9724660     497.49      -8.60
            8700   298.00    39.98   -5248.08     837.14  0.524    14.41
#all        8700   298.00    39.98   -5248.08     837.14  0.524    14.41     797.05    -258.04       4.69   -3373.06   -3109.57     244.62  0.9748347     454.69      -9.43
            8800   298.00    40.01   -5109.78     769.56  0.528    14.42
#all        8800   298.00    40.01   -5109.78     769.56  0.528    14.42     846.77    -248.22       6.58   -3375.50   -3109.85     244.85  0.9703636     535.47     -10.85
            8900   298.00    40.04   -5165.85     792.41  0.546    14.45
#all        8900   298.00    40.04   -5165.85     792.41  0.546    14.45     839.00    -250.73       8.08   -3397.82   -3128.36     244.12  0.9706695     529.95     -11.07
            9000   298.00    40.06   -5266.88     797.52  0.535    14.45
#all        9000   298.00    40.06   -5266.88     797.52  0.535    14.45     831.52    -257.83       7.11   -3397.41   -3124.00     244.24  0.9757086     438.90     -10.38
            9100   298.00    40.09   -5261.02     791.77  0.528    14.47
#all        9100   298.00    40.09   -5261.02     791.77  0.528    14.47     809.50    -249.13       6.26   -3395.09   -3117.00     244.31  0.9751417     449.14     -10.00
            9200   298.00    40.12   -5247.98     769.98  0.538    14.52
#all        9200   298.00    40.12   -5247.98     769.98  0.538    14.52     822.02    -253.81       7.39   -3402.11   -3125.28     243.83  0.9741962     466.23      -7.22
            9300   298.00    40.16   -5283.54     772.99  0.539    14.56
#all        9300   298.00    40.16   -5283.54     772.99  0.539    14.56     827.95    -266.85       6.39   -3395.44   -3132.09     243.87  0.9756017     440.83      -9.18
            9400   298.00    40.19   -5309.62     788.39  0.553    14.56
#all        9400   298.00    40.19   -5309.62     788.39  0.553    14.56     807.24    -269.88       7.29   -3425.55   -3129.62     244.10  0.9744230     462.13      -6.30
            9500   298.00    40.22   -5368.77     794.04  0.555    14.55
#all        9500   298.00    40.22   -5368.77     794.04  0.555    14.55     783.23    -271.51       7.37   -3432.21   -3125.26     243.47  0.9759937     433.75      -8.59
            9600   298.00    40.25   -5315.46     744.63  0.553    14.54
#all        9600   298.00    40.25   -5315.46     744.63  0.553    14.54     813.47    -268.73       6.76   -3429.68   -3126.20     242.48  0.9749739     452.17      -6.72
            9700   298.00    40.29   -5337.82     754.95  0.553    14.52
#all        9700   298.00    40.29   -5337.82     754.95  0.553    14.52     790.13    -267.08       8.77   -3419.12   -3125.09     242.97  0.9757261     438.58      -7.97
            9800   298.00    40.31   -5373.91     754.68  0.557    14.50
#all        9800   298.00    40.31   -5373.91     754.68  0.557    14.50     794.42    -274.04       9.07   -3417.28   -3132.07     242.31  0.9772295     411.42      -8.71
            9900   298.00    40.33   -5377.54     747.41  0.568    14.48
#all        9900   298.00    40.33   -5377.54     747.41  0.568    14.48     786.24    -273.82       6.73   -3425.77   -3128.02     243.56  0.9767523     420.04      -7.48
           10000   298.00    40.36   -5322.83     746.76  0.553    14.48
#all       10000   298.00    40.36   -5322.83     746.76  0.553    14.48     777.96    -269.48       8.21   -3425.21   -3130.90     242.02  0.9733893     480.81      -7.20
           10100   298.00    40.37   -5364.22     771.86  0.553    14.48
#all       10100   298.00    40.37   -5364.22     771.86  0.553    14.48     781.97    -267.56       5.85   -3432.55   -3129.73     241.12  0.9753917     444.63      -8.92
           10200   298.00    40.37   -5414.03     770.99  0.541    14.46
#all       10200   298.00    40.37   -5414.03     770.99  0.541    14.46     764.88    -258.72       4.87   -3423.32   -3135.99     239.73  0.9776958     402.99      -9.45
           10300   298.00    40.36   -5373.65     741.32  0.542    14.46
#all       10300   298.00    40.36   -5373.65     741.32  0.542    14.46     778.92    -259.69       6.29   -3424.22   -3129.55     241.28  0.9766839     421.28      -8.94
           10400   298.00    40.37   -5390.53     759.18  0.535    14.48
#all       10400   298.00    40.37   -5390.53     759.18  0.535    14.48     777.58    -266.63       6.89   -3426.71   -3129.00     240.74  0.9769268     416.89     -11.27
           10500   298.00    40.39   -5380.25     743.32  0.554    14.51
#all       10500   298.00    40.39   -5380.25     743.32  0.554    14.51     775.64    -272.63       8.17   -3420.08   -3127.58     240.32  0.9764719     425.11     -10.17
           10600   298.00    40.42   -5351.47     713.20  0.553    14.54
#all       10600   298.00    40.42   -5351.47     713.20  0.553    14.54     819.17    -262.71       7.27   -3427.87   -3130.18     239.23  0.9771373     413.09     -10.44
           10700   298.00    40.45   -5423.32     750.75  0.562    14.58
#all       10700   298.00    40.45   -5423.32     750.75  0.562    14.58     790.49    -270.04       8.33   -3430.83   -3128.10     240.24  0.9791843     376.10     -10.50
           10800   298.00    40.45   -5465.80     763.68  0.559    14.61
#all       10800   298.00    40.45   -5465.80     763.68  0.559    14.61     750.11    -271.29       4.49   -3426.22   -3126.98     240.39  0.9793520     373.07     -10.35
           10900   298.00    40.45   -5475.08     728.15  0.568    14.63
#all       10900   298.00    40.45   -5475.08     728.15  0.568    14.63     782.06    -272.35       8.59   -3429.62   -3135.12     239.28  0.9812621     338.56      -7.46
           11000   298.00    40.43   -5469.80     755.33  0.573    14.65
#all       11000   298.00    40.43   -5469.80     755.33  0.573    14.65     767.35    -275.99       5.33   -3434.11   -3137.77     239.60  0.9793414     373.26      -8.46
           11100   298.00    40.42   -5502.03     735.83  0.561    14.65
#all       11100   298.00    40.42   -5502.03     735.83  0.561    14.65     785.83    -273.24       4.45   -3431.25   -3133.57     238.53  0.9826680     313.16      -6.92
           11200   298.00    40.42   -5553.29     751.59  0.565    14.65
#all       11200   298.00    40.42   -5553.29     751.59  0.565    14.65     758.04    -274.68       3.74   -3431.52   -3138.06     239.25  0.9835558     297.12      -8.17
           11300   298.00    40.44   -5538.61     743.05  0.568    14.67
#all       11300   298.00    40.44   -5538.61     743.05  0.568    14.67     761.24    -278.08       4.04   -3428.80   -3131.78     237.99  0.9831919     303.69      -7.90
           11400   298.00    40.44   -5522.56     697.00  0.572    14.66
#all       11400   298.00    40.44   -5522.56     697.00  0.572    14.66     778.47    -275.63       2.46   -3430.96   -3134.48     237.96  0.9829666     307.76      -9.12
           11500   298.00    40.45   -5493.94     694.46  0.569    14.67
#all       11500   298.00    40.45   -5493.94     694.46  0.569    14.67     777.77    -274.40       3.78   -3419.72   -3136.69     236.91  0.9818851     327.30      -9.88
           11600   298.00    40.45   -5523.82     702.51  0.576    14.67
#all       11600   298.00    40.45   -5523.82     702.51  0.576    14.67     789.03    -282.58       6.91   -3432.59   -3136.48     237.98  0.9832421     302.78      -9.86
           11700   298.00    40.46   -5540.27     708.79  0.557    14.70
#all       11700   298.00    40.46   -5540.27     708.79  0.557    14.70     763.24    -268.62       3.85   -3432.74   -3134.48     238.55  0.9833974     299.98     -11.02
           11800   298.00    40.46   -5549.30     725.73  0.554    14.71
#all       11800   298.00    40.46   -5549.30     725.73  0.554    14.71     761.75    -264.36       4.70   -3429.77   -3137.36     240.10  0.9841659     286.09     -11.43
           11900   298.00    40.48   -5580.24     734.49  0.551    14.72
#all       11900   298.00    40.48   -5580.24     734.49  0.551    14.72     761.01    -270.13       6.84   -3443.34   -3133.19     239.47  0.9849564     271.81     -13.70
           12000   298.00    40.49   -5571.33     717.54  0.555    14.71
#all       12000   298.00    40.49   -5571.33     717.54  0.555    14.71     776.40    -267.92       2.45   -3444.84   -3136.67     239.39  0.9849764     271.45     -12.58
           12100   298.00    40.51   -5590.31     705.94  0.559    14.69
#all       12100   298.00    40.51   -5590.31     705.94  0.559    14.69     779.49    -270.15       4.69   -3444.66   -3131.63     237.87  0.9863966     245.79     -12.70
           12200   298.00    40.53   -5646.90     735.45  0.545    14.68
